Step,Description,Image,Source
Raw Mineral,"""Though lithium-mining operations exist on every continent except Antarctica, up to three-fourths of the known lithium reserves are in the Altiplano-Puna Plateau, a 1,100-mile-long stretch in the Andes."" ",https://res.cloudinary.com/aleesteele/image/upload/v1614179074/raw-bol_copy_hpu1oh.png,https://www.nationalgeographic.com/magazine/article/lithium-is-fueling-technology-today-at-what-cost
Raw Mineral,"""Lithium is abundant and even found in seawater, but at such low densities that commercial extraction is not yet feasible. As such, a handful of countries with extractable reserves in hard rock – like Australia – and in the brine of salt lakes are growing in geopolitical importance.""",https://res.cloudinary.com/aleesteele/image/upload/v1614179076/raw-aus_copy_lalpgl.png,https://www.theguardian.com/australia-news/2020/sep/10/how-australias-white-gold-could-power-the-global-electric-vehicle-revolution
Transport,"""A truck crossing the flooded southern zone of the Uyuni Salt Flat, Bolivia.""",https://res.cloudinary.com/aleesteele/image/upload/v1614179076/trans-car_copy_h4zkjd.png,https://www.theguardian.com/australia-news/2020/sep/10/how-australias-white-gold-could-power-the-global-electric-vehicle-revolution
Transport,"""The field of transporting hazardous materials encompasses both caustic chemicals and more ordinary devices such as lithium-ion batteries. Though these batteries are standard electronics components, they still pose a danger for those nearby if they do not have proper storage or shipping conditions.""",https://res.cloudinary.com/aleesteele/image/upload/v1614179076/trans-ship_copy_eyuevj.png,https://klingecorp.com/blog/transporting-lithium-ion-batteries-overseas/
Manufacturing,"""Test text going ehre. There is stuff going on here.""",https://res.cloudinary.com/aleesteele/image/upload/v1614179076/trans-ship_copy_eyuevj.png,https://cen.acs.org/energy/energy-storage-/Europe-contender-electric-vehicle-batteries/98/i27
Manufacturing,"""Test text going ehre. There is stuff going on here.""",https://res.cloudinary.com/aleesteele/image/upload/v1614179076/trans-ship_copy_eyuevj.png,https://www.bloomberg.com/news/articles/2021-01-11/lithium-miner-s-plan-for-german-smelter-pulls-in-billionaires
Transport,"""Test text going ehre. There is stuff going on here.""",https://res.cloudinary.com/aleesteele/image/upload/v1614179076/trans-ship_copy_eyuevj.png,https://www.bloomberg.com/news/articles/2021-01-11/lithium-miner-s-plan-for-german-smelter-pulls-in-billionaires
Manufacturing,Sweden - making the batteries,https://res.cloudinary.com/aleesteele/image/upload/v1614179078/manu-swed_copy_wkpcpq.png,https://www.reuters.com/article/us-china-lithium-tianqi-electric/tianqi-lithium-in-supply-deal-with-swedens-northvolt-idUSKBN1W91NR 
Transport,"""Test text going ehre. There is stuff going on here.""",https://res.cloudinary.com/aleesteele/image/upload/v1614179076/trans-ship_copy_eyuevj.png,https://www.bloomberg.com/news/articles/2021-01-11/lithium-miner-s-plan-for-german-smelter-pulls-in-billionaires
Manufacturing,China - Soundon New Energy factory,https://res.cloudinary.com/aleesteele/image/upload/v1614179074/manu-china_copy_kbeddj.png,https://www.wired.co.uk/article/lithium-batteries-environment-impact 
Transport,"""Test text going ehre. There is stuff going on here.""",https://res.cloudinary.com/aleesteele/image/upload/v1614179076/trans-ship_copy_eyuevj.png,https://www.bloomberg.com/news/articles/2021-01-11/lithium-miner-s-plan-for-german-smelter-pulls-in-billionaires
Transport,"""Test text going ehre. There is stuff going on here.""",https://res.cloudinary.com/aleesteele/image/upload/v1614179076/trans-ship_copy_eyuevj.png,https://www.bloomberg.com/news/articles/2021-01-11/lithium-miner-s-plan-for-german-smelter-pulls-in-billionaires
End Product,Tesla @ Netherlands,,https://www.bloomberg.com/news/articles/2021-01-11/lithium-miner-s-plan-for-german-smelter-pulls-in-billionaires
Sold,"""Test text going ehre. There is stuff going on here.""",https://res.cloudinary.com/aleesteele/image/upload/v1614179076/trans-ship_copy_eyuevj.png,https://www.bloomberg.com/news/articles/2021-01-11/lithium-miner-s-plan-for-german-smelter-pulls-in-billionaires
Used,"""Test text going ehre. There is stuff going on here.""",https://res.cloudinary.com/aleesteele/image/upload/v1614179076/trans-ship_copy_eyuevj.png,https://www.bloomberg.com/news/articles/2021-01-11/lithium-miner-s-plan-for-german-smelter-pulls-in-billionaires
Disposal,Gurensey (UK) - 5% are being recycled,https://res.cloudinary.com/aleesteele/image/upload/v1614179076/trans-ship_copy_eyuevj.png,https://www.bbc.com/news/world-europe-guernsey-45059371
Disposal,No waste,https://res.cloudinary.com/aleesteele/image/upload/v1614179076/trans-ship_copy_eyuevj.png,https://theconversation.com/designing-batteries-for-easier-recycling-could-avert-a-looming-e-waste-crisis-146065
