Step,Element,Type,Relevant Jurisdiction,Title,Description (50-100 Words),Tag 1,Tag 2,Tag 3,Image,Media Type,Source,
Transport,Multiple,General,,Cargo Liquefaction,"Over the past debade, more than half of the lives lost on cargo ships at sea has been due to cargo liquefaction, a process that turns solid state cargo into a liquid state, which can shift the ship's hold and destabilise the vessel. If the cargo returns to a material state, this can make the tilt permanent, putting the ship and its crew at risk of sinking.",,,,,,https://splash247.com/cargo-liquefaction-the-cause-of-over-half-of-all-deaths-on-dry-bulk-vessels-in-the-past-decade/,https://theconversation.com/mystery-of-the-cargo-ships-that-sink-when-their-cargo-suddenly-liquefies-101158
Transport,Bauxite,Site Specific,,Cosco-Chalco Shipping Contract,"""Cosco Shipping Bulk, the bulk shipping unit of China Cosco Shipping Corporation, has announced that it has secured a long-term shipping contract with Aluminum Corporation of China (CHALCO) for the transportation of bauxite from Guinea to China.

According to Cosco, the contract is part of a strategic cooperation agreement signed between the two companies in line with the central government’s Belt and Road initiative and exploring the emerging market in Africa."" Source: Jason Jiang for splash247.com",,,,,,https://splash247.com/cosco-secures-bauxite-shipping-contract-from-chalco/,
Transport,All,General,,Seafarer Abandonment: Vikas Mishra Testimony ,"“The coastguard said: ‘Do you want to go back or do you want to go to jail for two years?’ We told them we had already been in jail in the ship for 33 months.”

Voice message from Vikas Mishra, stranded at sea for 33 months. Link: https://www.humanrightsatsea.org/wp-content/uploads/2019/07/20190809-Vikas-Mishra-HRAS-Voicenote-Abandonement-AUDIO-2019-07-10-15-54-28.m4a",,,,,Data Journalism,https://www.arcgis.com/home/webmap/viewer.html?webmap=26f4e0ac76434ff7a31ad65ddb39212e,
Transport,Lithium,General,,Lithium-Induced Fire Aboard Ship,,,,,,,https://splash247.com/lithium-batteries-identified-as-cause-of-fire-onboard-cosco-boxship/,
Transport,Bauxite,General,,Crew Conditions,,,,,,,https://splash247.com/rio-tinto-blasted-for-bauxite-ship-crew-conditions/,
Transport,Bauxite,Site Specific,,Solomon Islands Oil and Bauxite Spill,"In February 2019, the Hong-Kong flagged Solomon Trader bulk carrier ran aground off Rennell Island in the Solomon Islands while loading bauxite, leaking 80 tonnes of bunker fuel into the water around Kangava Bay. Five months later, a barge belonging to Bintan Mining spilled 5,000 tonnes of bauxite into the sea, leaving the coral reefs permanently damaged. ",,,,,News Story,https://splash247.com/solomon-reefs-damaged-irreparably-from-latest-bauxite-spill/,
Transport,All,General,,Flying the Flag of Convenience,,,,,,,https://www.itfglobal.org/en/sector/seafarers/flags-of-convenience,
Transport,,General,,Seafarer Vlogging,,,,,,Youtube Vlogs,https://www.youtube.com/watch?v=VVUvNLQGBfA&t=675s,
Transport,,General,,Containers Podcast Ep 2: Meet the Sailors,"""What is life like as a modern sailor, a tiny person on a huge ship in a vast ocean? Here’s a rare look into the lives of two Filipino sailors, fresh off a trip across the Pacific Ocean. These are regular people doing heroic work to support their families. And without them, the global economic order doesn’t work."" In the second episode of his Containers podcast series, Alexis Madrigal speaks to Filipino seafarers on shore leave in California. ",,,,,Podcast,https://www.flexport.com/blog/alexis-madrigal-containers-podcast/,
Transport,,General,,Seafarers during COVID-19,,,,,,,https://theconversation.com/thousands-of-seafarers-are-stranded-aboard-ships-with-no-end-to-their-shift-in-sight-137324,
,,General,,Seafarer Abandonment: The Seafarer Abandonment Project,"Cargo ships may be abandoned by their owners if they run into financial problems or if abandoning the vessel is less costly than continuing to operate it. Abandoning a ship also means abandoning any crew still finishing a contract on that vessel, and ceasing to pay crew wages. Abandoned seafarers are left in a catch-22 as their right to the paid their wages from the sale of the vessel is tied to them staying on board. In some cases, leaving may be technically possible but would constitute the loss of a key bargaining chip for claiming unpaid wages. In other cases, seafarers whose passports have expired while at sea or remain with their employer, are at risk of detention if they were to set foot on land. Finally, ships at sea without crew have been prohibited by international maritime law as they are a safety hazard, leading to situations where seafarers are effectively held hostage as leaving the ship would be tantamount to breaking the law. 

In one of the most recent cases of seafarer abandonment, the Panama-flagged MT Iba was grounded just meters from a beach in the United Arab Emirates. The vessel was abandoned by its owners and crew had not been paid their wages for 32 months. In February 2021, after 43 months at sea, the seafarers are returning home following a wage settlement. Read more about the story here. 

The Seafarer Abandonment Project, run by Matthew and Eliza Ader, maps abandonment cases using ILO data. You can view the map here.",,,,,,https://www.marineinsight.com/shipping-news/crew-of-mt-iba-goes-home-after-43-months-at-sea/,
,,General,,,,,,,,,,
,,General,,Trains,,,,,,,,
,,General,,Trucks,,,,,,,,
,,General,,Amazon Labour,,,,,,,,
,,General,,,,,,,,,,
,,General,,,,,,,,,,
,,General,,,,,,,,,,
,,General,,,,,,,,,,
,,General,,,,,,,,,,
,,General,,,,,,,,,,
,,General,,,,,,,,,,
,,General,,,,,,,,,,
,,General,,,,,,,,,,
,,General,,,,,,,,,,
,,General,,,,,,,,,,
,,General,,,,,,,,,,
,,General,,,,,,,,,,
,,General,,,,,,,,,,
,,General,,,,,,,,,,
,,General,,,,,,,,,,
